id,from,to,source,pos,accept,notes
de-fr-18,de,fr,guten Morgen,phrase,bonjour|bon matin,greeting that is idiomatically one word in French
de-fr-19,de,fr,Wie geht es dir?,phrase-question,comment vas-tu ?|comment vas-tu?|comment ça va ?|comment ça va?,question - French spacing before ? varies
de-fr-20,de,fr,es regnet,phrase-clause,il pleut,impersonal clause
en-es-01,en,es,the window,noun,la ventana,noun with article
en-es-02,en,es,the table,noun,la mesa,noun with article
en-es-03,en,es,the book,noun,el libro,masculine article
en-es-04,en,es,water,noun-bare,agua|el agua,bare noun - feminine noun taking el in the singular
en-es-05,en,es,the children,noun-plural,los niños,plural with tilde
en-es-06,en,es,the glove,noun,el guante,noun
en-es-07,en,es,freedom,noun,libertad|la libertad,abstract bare noun
en-es-08,en,es,to run,verb,correr,infinitive marked with to
en-es-09,en,es,to eat,verb,comer,infinitive
en-es-10,en,es,to get up,verb-phrasal,levantarse,phrasal verb to a Spanish reflexive
en-es-11,en,es,fast,adj,rápido|rápida|veloz,adjective with accent
en-es-12,en,es,tired,adj,cansado|cansada,adjective with gender
en-es-13,en,es,yesterday,adv,ayer,adverb
en-es-14,en,es,maybe,adv,quizás|quizá|tal vez|a lo mejor,adverb with several renderings
en-es-15,en,es,we,pronoun,nosotros|nosotras,pronoun
en-es-16,en,es,between,preposition,entre,preposition
en-es-17,en,es,thirty,number,treinta,number
en-es-18,en,es,good morning,phrase,buenos días,greeting - plural in Spanish
en-es-19,en,es,How are you?,phrase-question,¿cómo estás?|¿cómo está?|¿qué tal?,question - opening inverted mark is the thing being tested
en-es-20,en,es,it is raining,phrase-clause,está lloviendo|llueve,progressive or simple present
es-de-01,es,de,la ventana,noun,das Fenster,GERMAN TARGET - noun must stay capitalised
es-de-02,es,de,la mesa,noun,der Tisch,capitalised noun with the right gender
es-de-03,es,de,el libro,noun,das Buch,capitalised noun
es-de-04,es,de,el agua,noun,das Wasser,capitalised noun
es-de-05,es,de,los niños,noun-plural,die Kinder,capitalised plural
es-de-06,es,de,el guante,noun,der Handschuh,capitalised compound
es-de-07,es,de,la libertad,noun,die Freiheit,capitalised abstract noun
es-de-08,es,de,correr,verb,laufen|rennen,verb - stays lower case in German
es-de-09,es,de,comer,verb,essen,verb - lower case
es-de-10,es,de,levantarse,verb-reflexive,aufstehen|sich erheben,reflexive to a separable verb
es-de-11,es,de,rápido,adj,schnell,adjective - lower case
es-de-12,es,de,cansado,adj,müde,adjective with umlaut
es-de-13,es,de,ayer,adv,gestern,adverb - lower case
es-de-14,es,de,quizás,adv,vielleicht,adverb
es-de-15,es,de,nosotros,pronoun,wir,pronoun - lower case
es-de-16,es,de,entre,preposition,zwischen,preposition - lower case
es-de-17,es,de,treinta,number,dreißig,number with eszett
es-de-18,es,de,buenos días,phrase,guten Morgen,greeting - Morgen capitalised Guten not
es-de-19,es,de,¿cómo estás?,phrase-question,wie geht es dir?|wie geht es Ihnen?|wie geht's?,question
es-de-20,es,de,está lloviendo,phrase-clause,es regnet,impersonal clause - es stays lower case
